Resources should be closed,3338,"2,14926372586264"
Null pointers should not be dereferenced,2024,"1,30320844252426"
InterruptedException should not be ignored,766,"0,493210309769556"
Floating point numbers should not be tested for equality,665,"0,428178663181142"
Conditionally executed blocks should be reachable,594,"0,382463347262554"
All branches in a conditional structure should not have exactly the same implementation,169,"0,10881532944002"
Identical expressions should not be used on both sides of a binary operator,151,"0,097225531038124"
Assignments should not be redundant,121,"0,077909200368298"
"Jump statements should not occur in ""finally"" blocks",120,"0,077265322679304"
Classes should not be compared by name,119,"0,07662144499031"
"Blocks should be synchronized on ""private final"" fields",95,"0,061168380454449"
Non-thread-safe fields should not be static,91,"0,058592869698472"
Return values from functions without side effects should not be ignored,74,"0,047646948985571"
Zero should not be a possible denominator,69,"0,0444275605406"
"Related ""if/else if"" statements should not have the same condition",59,"0,037988783650658"
BigDecimal(double) should not be used,54,"0,034769395205687"
Synchronization should not be based on Strings or boxed primitives,52,"0,033481639827698"
Getters and setters should be synchronized in pairs,47,"0,030262251382727"
"instanceof operators that always return ""true"" or ""false"" should be removed",43,"0,027686740626751"
Loops should not be infinite,38,"0,02446735218178"
notifyAll should be used,32,"0,020604086047814"
"wait(...) should be used instead of ""Thread.sleep(...)"" when a lock is held",26,"0,016740819913849"
Raw byte values should not be used in bitwise operations in combination with shifts,24,"0,015453064535861"
"Inappropriate ""Collection"" calls should not be made",19,"0,01223367609089"
Silly equality checks should not be made,17,"0,010945920712901"
"Methods ""wait(...)"", ""notify()"" and ""notifyAll()"" should not be called on Thread instances",16,"0,010302043023907"
Printf-style format strings should not lead to unexpected behavior at runtime,12,"0,00772653226793"
Exception should not be created without being thrown,10,"0,006438776889942"
"hashCode and ""toString"" should not be called on array instances",10,"0,006438776889942"
Variables should not be self-assigned,10,"0,006438776889942"
Double-checked locking should not be used,9,"0,005794899200948"
Map values should not be replaced unconditionally,8,"0,005151021511954"
Custom serialization method signatures should meet requirements,8,"0,005151021511954"
Collections should not be passed as arguments to their own methods,8,"0,005151021511954"
"equals method overrides should accept ""Object"" parameters",8,"0,005151021511954"
"The signature of ""finalize()"" should match that of ""Object.finalize()""",7,"0,004507143822959"
"Classes extending java.lang.Thread should override the ""run"" method",6,"0,003863266133965"
The Object.finalize() method should not be called,6,"0,003863266133965"
"read and ""readLine"" return values should be used",6,"0,003863266133965"
"toString() and ""clone()"" methods should not return null",5,"0,003219388444971"
Locks should be released,5,"0,003219388444971"
Collection sizes and array length comparisons should make sense,4,"0,002575510755977"
Thread.run() should not be called directly,4,"0,002575510755977"
"wait, ""notify"" and ""notifyAll"" should only be called when a lock is obviously held on an object",4,"0,002575510755977"
"Methods should not be named ""hashcode"" or ""equal""",4,"0,002575510755977"
Non-serializable classes should not be written,3,"0,001931633066983"
"A ""for"" loop update clause should move the counter in the right direction",3,"0,001931633066983"
Child class methods named for parent class methods should be overrides,2,"0,001287755377988"
Loop conditions should be true at least once,2,"0,001287755377988"
Externalizable classes should have no-arguments constructors,2,"0,001287755377988"
"Expressions used in ""assert"" should not produce side effects",1,"0,000643877688994"
Err:510,1,"0,000643877688994"
"StringBuilder and ""StringBuffer"" should not be instantiated with a character",1,"0,000643877688994"
"super.finalize() should be called at the end of ""Object.finalize()"" implementations",1,"0,000643877688994"
getClass should not be used for synchronization,1,"0,000643877688994"
Optional value should only be accessed after calling isPresent(),1,"0,000643877688994"
"PreparedStatement and ""ResultSet"" methods should be called with valid indices",1,"0,000643877688994"
ScheduledThreadPoolExecutor should not have 0 core threads,0,0
"Week Year (""YYYY"") should not be used for date formatting",0,0
Intermediate Stream methods should not be left unused,0,0
"null should not be used with ""Optional""",0,0
