Project,Java Files,Commits,Analyzed Versions
apex-core,471,6095,267
apex-malhar,1997,6081,263
aries,2351,5225,371
aurora,698,3847,371
batik,1658,3462,411
beam,2093,10024,137
brooklyn-library,537,3672,303
cayenne,3661,5569,496
chukwa,496,846,192
commons-collections,528,2944,365
commons-io,232,2025,332
commons-math,1373,6307,589
commons-validator,149,1325,228
commons-vfs,382,2035,326
crunch,702,1039,217
cxf,6991,13500,494
directory-shared,1473,5270,486
falcon,850,2180,246
flume,643,1731,249
giraph,1569,1059,237
helix,734,2297,201
httpclient,625,2757,458
incubator-hivemall,554,1765,149
jmeter,1239,14641,790
jspwiki,494,7698,294
kafka,1528,4321,313
knox,973,1148,219
manifoldcf,1276,4499,370
maven,965,10304,600
maven-surefire,1100,2475,378
mina,319,2401,254
nifi,3863,3900,148
nutch,560,2329,485
oodt,1253,1968,247
oozie,1070,1993,299
openjpa,4597,4860,452
opennlp,912,1766,222
pdfbox,1178,6446,447
phoenix,1721,2257,190
poi,3287,8952,724
polygene-java,2798,5819,376
qpid-proton-j,397,2992,261
rampart,271,1031,189
roller,612,4093,358
sis,2076,4947,278
sling,5383,21646,521
sqoop,729,848,225
stanbol,1661,3403,226
stratos,1438,8951,136
struts,1956,5045,506
tapestry-5,3114,5342,434
tomcat,2254,18855,599
vxquery,756,1154,189
wicket,3237,20070,672
wss4j,720,2397,494
zeppelin,531,3523,202
zookeeper,602,1593,378
